gene_ID,Log2FC,padj
SLC45A3,3.131966078,6.28E-17
CYBB,3.130815529,2.54E-10
FUT7,3.12909633,6.66E-11
RAB39A,3.128335603,0.000232932
WNT9B,3.125120067,0.013997449
LOC100859870,3.123388339,0.00193252
BMP3,3.119956,9.43E-08
LOC112533444,3.115903529,8.22E-05
NCKAP1L,3.11579764,4.29E-22
44086,3.113157589,4.15E-15
LOC107054856,3.112743896,0.007435524
LY9,3.110602615,2.31E-17
LHFPL3,3.110313037,1.38E-09
TMEM268,3.109408793,1.82E-12
LOC100857467,3.10842217,2.82E-09
INA,3.107589575,0.000429228
LOC768391,3.106942538,0.028868496
CPNE9,3.106342552,3.73E-15
SELP,3.103721585,1.90E-12
BIN2,3.102086746,4.27E-09
SCNN1D,3.101706818,0.00165569
ADAM33,3.096152299,2.88E-25
MLKL,3.093999833,0.00017906
SAMSN1,3.093096131,2.80E-16
FYB,3.092658149,6.53E-14
F10,3.088633793,1.24E-16
KCNB2,3.087806614,1.37E-06
LRRC25,3.083111127,1.14E-09
LOC100858973,3.082052715,0.000103678
C3,3.076532889,8.82E-09
NUGGC,3.075768276,3.68E-08
TMEM255B,3.075221014,7.72E-10
LOC107053039,3.070446407,3.44E-07
FBP1,3.069913179,1.78E-08
LOC107052464,3.069171572,0.008106378
P2RY4,3.067168698,0.001913201
GPD1L2,3.064989849,4.18E-06
NXPH3,3.06083195,5.80E-08
MATN1,3.060711545,0.001370706
GRIN2C,3.059616246,1.45E-05
LOC112531927,3.058292662,0.010840144
ALOX15B,3.055810573,0.001613842
SPEF2,3.054944313,0.004650917
RGS11,3.050644592,5.62E-08
LOC100857615,3.048373834,6.47E-05
LOC112533600,3.047240542,0.003054602
HAL,3.047137343,4.28E-06
PTPRE,3.045305942,1.57E-37
TLR4,3.03921561,7.95E-13
CTSG,3.036435705,2.56E-10
PLTGP6L1,3.034492669,6.02E-07
CECR2,3.033897027,1.03E-08
PRF1,3.026179203,6.67E-05
ZP1,3.02330438,1.33E-06
LOC101750462,3.023082309,0.008399514
CCL19,3.020784251,0.000646594
C3H8ORF80,3.019802233,1.81E-08
SLC2A9,3.019160998,8.02E-07
EMB,3.017058006,2.40E-11
LOC101751866,3.016990371,1.76E-07
LOC107050060,3.0085221,0.000417231
LGR5,3.008233707,8.87E-05
EPHX4,3.004728291,1.14E-06
HRG,3.004532201,0.00944319
ITGB2,3.004160954,2.52E-17
SVEP1,3.003530454,2.13E-08
ABCG1,3.000866874,3.28E-07
LOC101751016,3.00047599,0.000125861
ALOX5AP,2.998311835,1.98E-10
LOC101751989,2.996265225,0.000237474
LOC107053265,2.99507411,0.00526174
LOC112531508,2.991377134,2.82E-18
LOC112532142,2.990913532,0.00756582
CD80,2.990523645,4.50E-13
SERPINB12,2.987490443,8.13E-07
LOC107053513,2.985274939,0.000325869
PTPRC,2.978329209,7.67E-13
LOC101748329,2.977418678,0.008643799
LAPTM5,2.976032769,1.77E-18
SASH3,2.972803136,4.95E-14
LOC107052057,2.972644044,0.000673982
COL22A1,2.970870096,2.03E-07
CYP4F11,2.967911042,2.08E-09
SLC24A4,2.967662521,1.23E-07
LOC112531857,2.963923627,0.009985007
LOC101749196,2.956785573,8.76E-10
HRH3L,2.953402197,2.80E-08
TBXAS1,2.950389807,2.60E-09
IPCEF1,2.947711951,4.72E-18
UGT8,2.947436372,8.41E-08
