"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-PMAIP1",58.9631142786232,0.0789272491777628,0.311708371360772,0.443622881497433,0.801066398575104,0.974430106151498
"gene-PDZD2",1020.09294160264,-0.170900940030782,0.338614110022167,0.48573451898983,0.784375625278173,0.96992169311598
"gene-GOLPH3",2320.02460851686,0.203073704178562,0.3049441200881,0.482359304261593,0.785700460946412,0.970574471506911
"gene-MTMR12",597.961033822862,-0.0952207792148472,0.250031784783468,0.145711315044167,0.929735020597539,0.988827177699265
"gene-ZFR2",2789.52043631437,0.0717568482891247,0.213914516425642,0.11940580468206,0.942044371189968,0.989275433963008
"gene-LOC124417497",45.8493033507112,-0.34297604700186,0.561063614640595,1.51003887033011,0.470001480085431,0.900238479162946
"gene-SUB1",12237.8883020781,0.266890990022299,0.262041562511828,1.07293170532122,0.584811414171097,0.931572528826924
"gene-NPR3",4333.37257036695,0.533090592546901,0.426996110639545,1.73531643180326,0.419933792976146,0.889290031753433
"gene-TARS",4963.75347057808,0.529757658856665,0.399603164244805,1.77850583656212,0.410962660786421,0.884967169128904
"gene-ADAMTS12",620.84037948985,-0.697755493160082,0.672285101272877,1.13621625768324,0.566596352662546,0.926610476867062
"gene-RXFP3",30.9018340407614,-0.201421647588238,0.514954213096405,3.15067469278168,0.206937731208052,0.757059924712534
"gene-SLC45A2",12.3918341382161,-1.55167443901413,0.820176993258041,3.81247265927374,0.148638762470092,NA
"gene-AMACR",312.032973466632,0.587223208021708,0.391835075061665,2.25033197222818,0.324598584028929,0.839722423900925
"gene-C1QTNF3",2107.39732048318,-0.71514102479293,0.395557613042262,3.25779811453603,0.196145400151772,0.750465257799622
"gene-RAI14",3720.49866622935,-0.161013463077858,0.253936326802369,0.462730255706646,0.79344970255149,0.971975885625576
"gene-RAD1",410.22728182442,1.00867854304805,0.340997926432309,8.63160663590402,0.0133558162086637,0.305817558864425
"gene-BRIX1",3672.73969888417,0.7714142312856,0.373157055299775,4.23536783854161,0.120309953640463,0.669433891356622
"gene-DNAJC21",823.937398808479,0.285163400702179,0.246823241846217,1.83779148320687,0.398959352145673,0.879461921814272
"gene-AGXT2",62.9868764757025,0.294342114574252,0.363488685454853,1.14694438638712,0.563565230201179,0.926460765200306
"gene-PRLR",23.6587985266422,0.1453532536823,0.486664075735151,2.01691135991361,0.364781884782813,0.862815478605214
"gene-SPEF2",28.534737135542,0.233202998273516,0.481766769057727,0.265007079117396,0.875899833801841,0.983677786082597
"gene-LMBRD2",483.458552160738,-0.188295979737902,0.284404544625891,0.454404236635895,0.796759726278819,0.973000559144046
"gene-SKP2",2613.13674127099,0.251672909573171,0.195716872931172,1.65874358644882,0.436323301497777,0.890646124359119
"gene-NADK2",1346.55762005607,0.0450460561618103,0.210754561713789,0.0511268225521491,0.974760566194579,0.996504791934842
"gene-RANBP3L",15.0914695782289,-0.656334525736078,0.733319287396892,1.08283845491125,0.58192178666464,0.931020314817806
"gene-SLC1A3",986.638891032823,-1.35756669402141,0.368542589464459,15.040653419318,0.000541955474830143,0.0529367102253504
"gene-LOC427439",3137.02643815466,-0.21393429213331,0.359917727644553,1.3606391644814,0.506455112440346,0.909432620347825
"gene-CPLANE1",1236.31875783365,-0.157266087655792,0.371596555031401,0.451724763264792,0.797827889882898,0.973717206638948
"gene-NUP155",5225.18764461691,0.262758046606126,0.336012533247181,0.611072657916935,0.736728139777337,0.964280633619062
"gene-WDR70",1412.07881068276,0.427479482013087,0.386774165656052,1.29015216502287,0.524622625981211,0.913187903214362
"gene-GDNF",29.620701629482,-0.565943633631548,0.410418327119445,2.49321009112134,0.287479120548631,0.816578049639765
"gene-EGFLAM",597.829686107222,-0.863038957318049,0.261883569042152,11.2528895772994,0.00360135617691585,0.15628798265018
"gene-LIFR",2659.04061155801,-0.544328413906909,0.280946041838666,3.82133398847085,0.147981650762999,0.702582547247644
"gene-OSMR",100.647055246004,-1.05731598010786,0.290080658548068,13.3304996949419,0.00127443817126983,0.085939614015962
"gene-RICTOR",1107.67927104736,-0.022800908948386,0.247639482908529,0.0117028255212688,0.994165673412685,0.998682296552866
"gene-FYB1",53.8812594363689,-0.122398974154593,0.429102542759198,2.37498916583222,0.304984420832777,0.828265252390869
"gene-DAB2",446.989547497226,-1.01199826237896,0.339204444978632,9.60177824473116,0.00822243304885806,0.235228029100766
"gene-PTGER4",34.1087938753083,1.03411350548569,0.538335370248072,6.48603047566738,0.0390459844943616,0.465821555538883
"gene-TTC33",319.447039539627,0.36169244770459,0.31254647589391,1.34011376368177,0.511679471688453,0.909432620347825
"gene-PRKAA1",1206.25716977367,0.165432056099455,0.193944025015226,0.793663377143616,0.672447196656455,0.949914206263053
