,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
DIAPH3,515.9353437,0.313709003,4.71E-06,0.001442677,1.191660799,0.233394275,0.999928958
DICER1,3264.706548,0.072874722,1.63E-06,0.001442664,0.336196308,0.736722837,0.999928958
DIDO1,2074.503394,0.119392338,4.99E-06,0.001442639,0.75539118,0.450014304,0.999928958
DIEXF,1329.843677,-0.165730892,-6.20E-06,0.001442648,-0.995219783,0.319629382,0.999928958
DIMT1,1111.122182,-0.462286931,-4.15E-06,0.001442685,-1.366016975,0.171933636,0.999928958
DIO1,19.74663332,-0.061041773,-2.58E-07,0.001442689,-0.124524205,0.900900237,0.999928958
DIO2,7.838978743,0.262782851,3.01E-07,0.001442693,0.271481518,0.786020713,0.999928958
DIO3,481.4056704,0.334364172,5.95E-07,0.001442693,0.434313501,0.664060801,0.999928958
DIP2A,1445.887407,0.108438609,7.10E-06,0.00144261,0.856125602,0.391928309,0.999928958
DIP2B,2456.144669,0.12161434,1.96E-06,0.001442673,0.476854936,0.633465423,0.999928958
DIP2C,793.6905178,0.141694699,2.57E-06,0.00144267,0.590790606,0.55466073,0.999928958
DIPK2A,447.7616531,-0.003332642,-6.51E-08,0.001442662,-0.015573844,0.987574372,0.999928958
DIRAS1,65.60218518,-0.519206615,-5.97E-06,0.001442685,-1.731182508,0.083419218,0.999928958
DIRAS2,22.71643463,0.930772859,2.44E-06,0.001442692,1.488936709,0.136504036,0.999928958
DIRC2,490.8899887,0.109165486,4.82E-06,0.001442636,0.70985388,0.477794753,0.999928958
DIS3,2045.24068,-0.128793574,-7.61E-06,0.00144262,-0.971586141,0.33125648,0.999928958
DIS3L,819.0216527,0.059515627,2.22E-06,0.001442642,0.355197276,0.722441805,0.999928958
DIS3L2,831.5944442,0.010998176,4.20E-07,0.001442641,0.065736864,0.947587323,0.999928958
DISC1,210.7293129,-0.001622855,-1.61E-08,0.001442673,-0.006228137,0.995030698,0.999928958
DISP1,1358.756081,-0.454424666,-8.40E-06,0.001442681,-1.923889854,0.054368391,0.999928958
DISP2,58.08828725,-0.326156726,-7.16E-07,0.001442692,-0.476194991,0.633935468,0.999928958
DISP3,743.0714175,0.433340676,9.54E-06,0.00144268,1.997587697,0.045761378,0.999928958
DIXDC1,934.5002355,0.290988725,6.92E-06,0.001442669,1.391592619,0.164045795,0.999928958
DKC1,7461.788141,-0.139434342,-7.04E-06,0.001442631,-0.973000279,0.330553164,0.999928958
