pathway,gene,baseMean,mean_norm_Sacral,mean_norm_Free,mean_norm_Pygo,norm_Sacral_1,norm_Sacral_2,norm_Sacral_3,norm_Sacral_4,norm_Free_1,norm_Free_2,norm_Free_3,norm_Free_4,norm_Pygo_1,norm_Pygo_2,norm_Pygo_3,norm_Pygo_4,Sacral_vs_Free__log2FC,Sacral_vs_Free__log2FC_shrunken,Sacral_vs_Free__lfcSE_shrunken,Sacral_vs_Free__stat,Sacral_vs_Free__pvalue,Sacral_vs_Free__padj,Sacral_vs_Free__DE_call,Pygo_vs_Free__log2FC,Pygo_vs_Free__log2FC_shrunken,Pygo_vs_Free__lfcSE_shrunken,Pygo_vs_Free__stat,Pygo_vs_Free__pvalue,Pygo_vs_Free__padj,Pygo_vs_Free__DE_call,Sacral_vs_Pygo__log2FC,Sacral_vs_Pygo__log2FC_shrunken,Sacral_vs_Pygo__lfcSE_shrunken,Sacral_vs_Pygo__stat,Sacral_vs_Pygo__pvalue,Sacral_vs_Pygo__padj,Sacral_vs_Pygo__DE_call
Necroptosis,TNFAIP3,1470.20846591707,1296.61567984997,1282.8052259132,1831.20449198805,703.801211256614,1614.18689101334,1444.06184776329,1424.41276936665,948.000853504118,1276.00612920423,1756.33072008107,1150.88320086336,2012.2633673927,2127.23892273795,1644.86534347537,1540.45033434618,0.0155301594237853,0.0143074295084883,0.25202245126558,0.0573740544631196,0.95424723048731,0.972961193452374,not_sig,0.513543659093411,0.434180465295832,0.258304173891446,1.89861801105996,0.057614718549828,0.12287114353543,not_sig,-0.498013499669626,-0.373864004673201,0.255490306722305,-1.84132745111455,0.0655735872792848,0.150184257145375,not_sig
Necroptosis,TRADD,1354.97764353067,1295.02602342608,1119.35531615176,1650.55159101415,1047.32323103663,1365.38648277682,1356.10434123029,1411.29003866059,1049.61097919327,1186.56644725066,1264.73687985482,976.506958308306,1558.83335527354,2051.08274247903,1623.00108021854,1369.28918608549,0.21009679479393,0.199358929641081,0.16157281577417,1.26854724254902,0.204602590998513,0.339904167877485,not_sig,0.560838328559351,0.528379041292796,0.163521823562183,3.39104533798759,0.0006962658201853,0.0032935187213737,Pygo_up,-0.350741533765421,-0.308188221491142,0.159554420234364,-2.12341637381299,0.033718976321377,0.0917784498489141,not_sig
Necroptosis,RIPK1,946.913403597847,1092.78181015954,950.503540117006,797.454860516997,942.125430941393,1054.00900216565,1204.68382365449,1170.30898387662,1092.84933055036,1086.90508735954,839.061304567994,783.198437990131,761.977061786034,821.459921893979,829.160137355173,777.222321032802,0.20016927683632,0.191608475435203,0.146022383061388,1.34311734492675,0.179233980043891,0.3082837934569,not_sig,-0.25310781004606,-0.236826264002602,0.145604783502999,-1.69093754634239,0.0908487313336081,0.175798774749835,not_sig,0.453277086882379,0.414554581090873,0.147521904932908,3.03353489528168,0.002417067556942,0.0126390036805628,Sacral_up
Necroptosis,CASP8,353.075762969199,284.462384425697,377.816969481227,396.947935000672,212.257508156757,308.361718087089,293.933945882427,323.296365576517,399.954750053049,344.981630392332,313.949702508131,452.381794971399,457.45453885394,446.668832529851,407.011669857914,276.656698760984,-0.410188610347219,-0.37522070183529,0.21678850619855,-1.83099015994315,0.0671020118090103,0.145017019478106,not_sig,0.0710986563766151,0.0613041898544863,0.206790168899705,0.318886148208136,0.749812848538119,0.83342354854463,not_sig,-0.481287266723834,-0.394488836911113,0.216491293933871,-2.14935881668572,0.0316059674065257,0.0874592326686556,not_sig
TNF–NF-κB,TAB2,5858.08219620615,6812.70998700555,4645.08781488994,6116.44878672294,5247.78760298086,7075.7328221206,7398.45102419972,7528.86849872103,4655.68948237427,4648.30804210112,4464.56587623662,4811.78785884776,4997.12069569186,6132.71172938974,6470.14005761734,6865.82266419281,0.552408490227915,0.54052793278313,0.142890977797133,3.83457523125893,0.0001257814710588,0.0006872559821465,Sacral_up,0.397155776262914,0.368950018451183,0.141381827238304,2.7561313454273,0.0058489504619292,0.0191773432164332,Pygo_up,0.155252713965001,0.13989554528158,0.136471184245345,1.07836706597191,0.280869978375856,0.429548721626519,not_sig
TNF–NF-κB,MAP3K7,5029.83314653508,6288.76814944717,4356.3464761519,4444.38481400618,5495.42136249708,7511.51050685004,6307.33258872708,5840.80813971449,4867.557404024,4548.64668221,4264.57656396276,3744.60525441083,4557.10577268866,4429.03807887837,4274.46346671029,4516.93193774742,0.529864153315754,0.517154743026359,0.124537265119446,4.22363539743766,2.40392838459722e-05,0.0001561428882499,Sacral_up,0.0287822091072508,0.0276606464969315,0.122439164537622,0.229152431613778,0.818750442928276,0.882250384222512,not_sig,0.501081944208503,0.473388932221458,0.12488572763342,3.99426396914144,6.48955323480219e-05,0.0007720736620678,Sacral_up
TNF–NF-κB,BIRC2,3688.51954523462,3358.20014712664,3297.58079457693,4409.77769400029,2419.5494021904,4154.21287691897,3345.7254067299,3513.31290266731,3980.0902424198,3144.86957878639,3114.91733306999,2950.44602403152,3816.59285348815,5002.34864936688,4536.83462579225,4283.33464735391,0.0264500307189848,0.0251875931002227,0.173067086999772,0.147959430164622,0.88237478580116,0.928476036200543,not_sig,0.419552730614615,0.387190388320276,0.174272585518263,2.34816664593206,0.0188660783496377,0.0501589370014667,not_sig,-0.39310269989563,-0.339551680126429,0.172829463032548,-2.20030473465877,0.0277852815972468,0.0796611567486776,not_sig
TNF–NF-κB,NFKB1,2361.97769625342,2178.4140829476,2585.6964849046,2321.82252090806,2152.36560902816,2518.16170760605,2000.75492708606,2042.3740880701,2479.7194503289,2767.51930159182,2789.79504328399,2305.75214441369,2279.22364080013,2109.26948694652,2210.8133885464,2687.98356733921,-0.246675887394833,-0.238490912333983,0.124448969077098,-1.95468585978448,0.0506201600946419,0.115936178815634,not_sig,-0.155604690753657,-0.147681523839191,0.123270841184694,-1.23332680094254,0.217453862602459,0.345502219498414,not_sig,-0.0910711966411759,-0.0820821329091828,0.12049002125134,-0.721051417889886,0.470877880003287,0.616040432302272,not_sig
TNF–NF-κB,CHUK,2106.53165183532,1862.86303423,2240.21910608376,2216.51281519219,1752.98635025953,2068.81309151827,1827.06668633736,1802.58600880486,2335.95193206659,2297.32211646449,2138.43320498421,2189.16917081974,2304.71231012043,2103.27967501604,2024.12621766116,2433.93305797114,-0.265548222946833,-0.259624677298133,0.0968998460739798,-2.71769300232688,0.0065738802478721,0.021635508835858,Free_up,-0.0161995721656202,-0.0183228906116383,0.0959586834418065,-0.166112862890188,0.868068131668959,0.915298855530872,not_sig,-0.249348650781213,-0.236412387447995,0.0959967026344215,-2.55106092990557,0.0107395548683762,0.0391802864162524,Pygo_up
TNF–NF-κB,IKBKB,1519.96544356263,1432.37946861011,1421.70722027547,1705.8096418023,1373.15712513691,1577.99774072439,1486.37052179182,1291.99248678733,1307.96012855186,1489.809559398,1560.81044271836,1328.24875043364,1816.40306629981,1665.16771667259,1732.32239650269,1609.34538773413,0.0115919296259016,0.0114668569171796,0.105565999480183,0.108500886119252,0.913598377643948,0.947412925303018,not_sig,0.262427035819872,0.25694737915086,0.105200785738439,2.46155236383821,0.013833720235001,0.0389809781288036,Pygo_up,-0.25083510619397,-0.236006700116089,0.104303564071891,-2.35369018833516,0.0185880962105007,0.0592429682625787,not_sig
