gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
ENAH,6424,4675,5424,10441,5469,6607,5763,5159,7187,8093,8094,8105
ENC1,2412,922,1338,2176,1590,2064,2070,1449,2618,1026,3199,2876
ENDOD1,414,1046,1905,626,472,372,340,1436,700,1182,635,655
ENDOG,389,325,391,397,394,351,277,364,497,349,406,424
ENDOU,12,0,3,0,0,24,4,4,23,0,2,14
ENDOUL,54,65,178,47,66,39,53,8,87,86,74,29
ENDOV,281,219,325,400,302,235,186,419,595,269,443,334
ENG,1637,2445,3373,1951,1231,1437,1306,2683,2154,2190,1690,1001
ENGASE,26,76,65,71,54,30,34,111,93,114,55,44
ENHO,56,74,114,58,78,48,41,126,184,62,176,42
ENKD1,226,169,209,195,248,135,133,229,284,291,245,151
ENKUR,3,15,25,36,8,9,12,16,0,16,12,4
ENO1,52705,16576,25370,54308,37347,36761,33629,42645,54031,31070,52817,37999
ENO2,242,1089,818,339,385,258,310,875,572,626,284,284
ENO4,57,60,93,74,14,37,30,53,55,48,32,14
ENOPH1,1178,693,913,1129,686,790,914,622,918,658,1047,817
ENOX1,1070,2946,4255,1568,979,967,754,3105,1759,3576,1604,1218
ENOX2,1498,1145,1421,2164,1094,1527,1556,1235,1800,1363,2170,1661
ENPEP,1723,19,28,468,520,395,255,76,553,10,640,204
ENPP1,2468,5958,11444,2423,857,1421,1091,6481,1817,6753,1629,3447
ENPP2,8099,4248,11017,9922,6108,9542,10532,6453,7529,8852,10297,8444
ENPP3,256,649,659,126,121,103,78,250,215,368,113,67
ENPP4,272,235,244,351,218,179,195,106,358,124,191,170
ENPP6,2775,1222,3123,1608,1231,1167,1123,1471,1559,1130,1310,1007
ENPP7,0,2,4,5,11,3,5,11,18,2,4,4
ENS-1,0,12,17,28,6,0,0,8,34,0,0,10
ENSA,1092,1119,1277,954,883,553,473,964,1374,1626,1487,807
ENTPD1,4627,3663,4711,2244,1588,1721,1304,2579,2853,3803,2013,1611
ENTPD2,258,627,799,476,879,391,410,347,1487,930,773,342
ENTPD2L,106,190,245,288,194,141,152,208,415,148,202,144
ENTPD3,174,117,71,88,84,245,252,50,111,27,46,46
ENTPD4,1346,631,1031,1609,850,999,945,843,1252,898,1241,976
ENTPD5,1653,551,736,1309,1108,848,868,842,1572,611,1635,1064
ENTPD6,657,426,424,594,403,441,420,380,507,494,509,545
ENTPD7,671,302,600,1033,797,620,552,663,1378,323,1018,657
ENTPD8,143,29,24,45,78,17,27,60,80,31,50,47
ENY2,206,296,243,308,122,183,184,204,167,424,393,182
EOGT,1800,2407,3541,1762,575,1156,1166,1511,792,3210,1086,1215
EOMES,27,28,71,180,122,132,87,36,304,38,150,90
EP300,7490,6216,8641,11270,7180,6825,7400,5814,13606,6888,12682,7185
EP400,4636,3967,5491,7010,3960,4736,4486,4010,7191,4013,7201,4711
EPAS1,6209,13349,14617,17295,6149,12671,12704,13472,10375,12966,9119,11226
EPB41,4360,4171,4046,13129,9591,7938,8445,4086,16978,3505,15498,10237
EPB41L1,3821,3893,3981,2945,2207,2038,1883,3178,3860,3281,3632,2296
EPB41L2,2448,7452,9048,5379,3421,3405,2639,5121,6552,7047,6536,4390
EPB41L3,1883,3764,2759,942,608,651,639,971,1227,2029,1217,584
EPB41L4A,1897,499,300,121,37,59,65,146,38,531,67,47
EPB41L4B,918,101,65,86,28,71,52,27,56,90,105,45
EPB41L5,2099,1109,1462,1552,853,1280,1414,1239,1367,1149,1135,1119
EPB42,588,809,551,5401,2417,2752,2763,619,3760,421,3914,3007
EPC1,2716,2584,3467,4326,2351,2718,2738,2611,3772,3022,3834,3376
EPC2,1048,1265,1712,1626,808,1111,1118,1062,1334,1490,1418,1004
EPCAM,1374,0,0,8,9,6,6,0,12,0,2,12
EPDR1,543,1559,1057,1114,300,729,738,507,457,991,524,711
EPG5,2006,1004,1550,1773,1535,1960,1709,1239,2366,1667,2947,1370
EPGN,21,49,87,48,66,28,45,40,41,72,49,51
EPHA1,72,4,2,4,3,2,2,8,16,0,8,0
EPHA2,329,464,540,680,600,288,269,654,969,419,734,646
EPHA3,1527,2134,2152,4047,3587,1930,1501,2368,4573,1245,5880,2526
EPHA4,890,366,374,134,367,91,86,238,279,418,165,148
EPHA5,272,721,804,667,839,468,247,587,1246,803,1168,517
EPHA6,62,45,59,37,36,23,20,16,88,18,71,67
EPHA7,882,230,217,138,14,108,120,82,34,102,46,33
EPHA8,6,40,34,8,4,4,12,27,43,52,34,17
EPHB1,1088,2855,3583,1293,1556,858,747,2389,1900,3768,2123,1143
EPHB2,968,1112,2217,1019,634,683,600,1416,942,1745,1131,850
EPHB3,1265,1177,1915,926,1099,534,582,1327,1458,1202,1258,722
EPHB6,477,811,1263,579,623,572,453,927,1002,807,732,596
EPHX1,834,546,650,713,254,363,355,359,337,398,353,275
EPHX1L,2210,300,252,235,160,121,99,74,176,176,192,158
EPHX2,743,423,512,562,527,416,372,613,1130,619,985,468
EPHX3,82,40,41,52,28,268,266,69,61,84,190,136
EPM2A,154,312,327,239,112,154,171,153,123,405,200,224
EPN2,3805,3874,5538,6093,2761,3943,3958,3886,4741,4984,4520,4441
EPN3,2132,1102,1277,4192,2255,1754,1946,1400,3728,1471,2769,2254
EPRS,9586,7626,9579,12711,8247,8259,7738,7981,10679,9616,11716,10144
EPS15,2257,2539,3206,4156,2256,2684,2178,1914,3456,2477,3043,2462
EPS8,2764,2662,2693,698,379,395,344,1177,739,1733,508,401
EPS8L2,7856,2646,5227,5737,2328,3887,4169,4664,3784,3442,3686,2917
EPSTI1,74,220,194,609,135,271,292,125,365,177,513,285
EPX,168,207,651,4755,6310,796,658,607,18829,157,3363,1052
EPYC,28244,1815,7008,31110,5167,24771,27748,9553,8107,3460,14227,13940
ERAL1,627,316,534,1099,566,629,561,545,1074,618,860,658
ERAP1,1448,1129,1120,1338,797,1785,1477,620,1256,1393,1956,764
ERBB2,881,488,801,573,467,295,260,696,641,641,504,338
ERBB3,345,84,69,36,32,2,32,38,13,58,36,24
ERBB4,3943,618,223,356,517,140,99,149,529,732,323,328
ERBIN,7810,5300,6782,5083,2008,4241,3875,3899,3665,6989,5061,3807
ERC1,7438,4275,6105,8434,3901,5257,5303,4948,4900,6210,6657,6766
ERC2,491,299,143,1108,76,595,446,68,78,90,168,134
ERCC3,910,608,899,1113,619,675,664,666,886,758,905,730
ERCC4,1194,793,1281,1767,439,1236,1215,834,730,980,712,739
ERCC5,895,902,1116,1156,509,697,649,730,784,1101,1055,977
ERCC6,1541,1177,1501,1794,817,1032,899,979,1187,1191,1554,1280
ERCC6L,346,163,218,735,335,425,345,257,647,254,629,342
ERCC6L2,2281,1052,1274,1542,474,2019,1596,1196,882,1652,1942,953
ERCC8,644,504,478,447,146,611,597,302,219,929,685,354
EREG,120,0,0,0,0,0,0,0,0,0,2,0
ERG,1906,1675,3257,2451,801,2054,2178,1805,1392,2885,2100,2085
ERGIC1,6398,4718,7089,7742,3897,5278,5359,5264,5691,6057,6096,5461
ERGIC2,2268,1592,1602,2223,986,1998,1736,1296,1519,1946,2372,1935
ERGIC3,2079,917,1441,2664,1148,1811,1876,1417,1624,970,2119,1719
ERH,1243,1322,1251,1861,480,1370,1450,783,964,1198,1805,1332
ERI1,672,515,564,816,376,544,547,400,610,542,606,449
ERI2,776,64,114,448,148,196,247,149,399,66,300,133
ERI3,986,837,1021,1146,750,690,698,1066,1228,990,1193,806
ERICH1,670,703,827,856,226,594,553,569,537,673,500,415
ERICH3,1426,178,227,399,135,289,150,224,184,317,263,301
ERICH6,6,8,19,14,25,8,5,7,10,10,7,5
ERICH6B,11,6,9,11,8,8,2,16,6,10,2,12
ERLEC1,1004,795,1274,1309,480,895,965,873,880,927,1176,978
ERLIN1,1557,1213,1866,2170,2040,1502,1224,1514,2372,1429,2001,1568
ERLIN2,7091,3935,5596,7780,3296,5766,5284,4597,5052,4485,5527,4649
ERMARD,619,451,519,669,247,654,377,443,450,407,458,325
ERMN,419,35,54,446,148,231,231,173,250,50,209,263
ERMP1,715,724,938,1171,329,960,796,550,788,751,822,868
ERN1,2095,1875,2395,2931,1735,1905,1790,1661,3270,1550,2605,1607
ERN2,544,425,683,842,653,464,471,619,951,458,801,396
ERNI,0,8,1,0,2,0,0,0,0,4,4,10
ERO1A,421,525,654,655,476,403,447,671,525,568,498,306
ERO1B,3938,2201,3357,4472,1022,2674,2412,2401,1749,2492,2002,1908
ERP29,4001,1124,1205,4759,2174,3204,2979,2114,3365,1275,3828,3730
ERP44,3583,1923,3008,3848,1437,2845,2927,1945,2377,2214,3056,2708
ERRFI1,486,617,537,905,478,564,524,417,697,497,673,669
ESCO1,967,906,1191,1252,638,782,695,868,1191,1107,1141,971
ESCO2,338,194,272,563,307,275,392,260,664,311,466,286
ESD,2586,1328,1757,1228,1185,1228,1179,1342,2233,1222,1644,1296
ESF1,670,485,652,829,216,584,505,405,415,783,578,729
ESM1,127,1053,894,82,92,74,52,627,64,554,132,86
ESPL1,859,392,582,1886,1262,853,1066,737,2097,503,1523,691
ESPN,72,102,76,289,311,93,62,144,547,48,342,215
ESPNL,8,7,6,30,4,1,0,8,11,0,4,10
ESR1,111,228,275,322,263,326,326,294,523,324,432,368
ESR2,2089,76,45,62,30,53,44,52,95,70,63,32
ESRP1,36,3,8,0,0,0,4,0,4,0,6,0
ESRP2,1611,0,0,11,0,2,2,0,11,0,0,0
ESRRB,174,149,112,304,254,177,180,93,446,115,321,232
ESRRG,17275,2943,2352,3874,1986,2715,1917,2222,2701,2398,3059,2825
ESYT1,1222,1735,2373,2040,1983,980,1034,2101,2787,2232,2218,1621
ESYT2,5432,8149,13721,6166,2290,3962,3787,5956,4263,7871,4490,3695
ESYT3,23,49,50,62,23,28,41,34,16,35,22,27
ETAA1,750,614,691,706,437,578,472,445,642,572,527,355
