"","E-2-29-33","E-3-29-33","E-4-34-38","E-4-39-49","E-6-29-33","E-6-34-38","E-6-39-49","E-7-34-38","E-7-39-49"
"gene-PLEKHA3",214.437100797064,265.360240681489,216.83452006831,185.129569389338,191.050961154276,224.504750376351,196.51630123258,184.270693720713,213.419587188854
"gene-DFNB59",12.1379491017206,8.51423232133121,6.60409705791806,5.07204299696815,12.3258684615662,8.73074029241365,4.51761612028921,3.47680554190025,9.03363332016312
"gene-FKBP7",872.920839565405,1156.51655698082,1334.02760569945,1065.12902936331,1103.16522731017,1075.75192888668,1439.99013834218,1084.76332907288,1272.61309397798
"gene-OSBPL6",485.517964068823,400.168919102567,210.230423010391,314.466665812025,305.835611202611,281.25456227704,173.928220631134,274.667637810119,285.688653750159
"gene-RBM45",1069.15101670989,1318.28697108612,1010.42684986146,1034.6967713815,1116.26146255059,1125.01824910816,1415.14324968059,1164.72985653658,1409.24679794545
"gene-PDE11A",40.4598303390686,49.6663552077654,28.6177539176449,35.5043009787771,38.5183389423943,36.1702097828566,37.2703329923859,28.9733795158354,39.5221457757136
"gene-TTC30B",736.368912171049,686.814740587384,642.798780304024,770.950535539159,566.219582453197,576.228859299301,790.582821050611,746.354256327919,756.566790563661
"gene-AGPS",2618.76251869622,2733.06857514732,2402.79064623919,2962.9184507289,2749.43903370811,2767.64467269513,2633.77019812861,2773.33188725576,2494.41200053004
"gene-NFE2L2",903.265712319707,966.365368471092,1146.91152239177,1179.2499967951,829.685020819174,914.856857783631,998.393162583914,798.506339456423,951.919111112189
"gene-HNRNPA3",33772.8318797791,34322.2895260063,31855.9628417107,35535.5785772584,35777.3739432535,36907.9573375655,33307.2542508622,40767.8628491416,36454.0980593532
"gene-MTX2",1297.74905812563,1319.70600980634,1770.99869436503,1211.37293577589,1187.90557298344,1267.82821531978,1889.49294231096,1424.33133699847,1292.93876894835
"gene-HOXD1",783.909212819455,1318.28697108612,607.576929328461,736.291575059877,840.470155723044,1136.24348662698,962.252233621601,972.346616551435,1401.3423687903
"gene-HOXD3",1535.45056136765,1912.86419485908,1321.9200944266,1191.93010428752,1406.68973817624,1376.96246897495,983.710910192974,1291.05379122562,1308.74762725863
"gene-HOXD4",25.2873939619179,24.1236582437718,33.0204852895903,6.76272399595754,11.5555016827183,18.0851048914283,19.1998685112291,19.7018980707681,18.0672666403262
"gene-HOXD8",1026.66819485387,1512.69527575651,1290.00029197999,728.683510564425,760.352010722864,900.513498731808,1311.23807891394,1227.31235629079,1163.080289971
"gene-HOXD9",614.989421153843,827.299573889349,706.638385197232,415.907525751388,502.279139808822,642.956660105605,530.819894133982,580.626525497341,348.9240869913
"gene-LOC101751440",44.5058133729755,38.3140454459904,61.6382392072352,40.5763439757452,26.962837259676,51.7608174478809,46.3055652329644,35.9269905996359,31.6177166205709
"gene-HOXD10",226.575049898784,303.67428612748,2410.49542614009,1399.88386716321,82.4292453367239,1250.99035904156,371.573925893787,1446.3511054305,1093.06963173974
"gene-HOXD11",0,5.67615488088747,377.534215144316,1767.6069844434,0,72.3404195657131,225.88080601446,575.990784774807,2175.97642599429
"gene-HOXD12",0,0,13.2081941158361,817.444263011367,0,6.23624306600975,92.6111304659287,91.5558792700398,842.386307105211
"gene-HOXD13",0,5.67615488088747,22.0136568597269,460.710572224607,0,24.944972264039,49.6937773231813,125.164999508409,364.732945301586
"gene-LNPK",836.506992260244,920.956129423992,760.571844503563,783.63064303158,925.98086817516,863.719664642351,1058.25157617775,778.804441385655,1068.22714010929
"gene-ATP5G3",6620.2397392301,6131.66631007869,7817.04955088901,6489.67901462075,5601.33684900298,5580.19029546553,11582.0383283915,7318.67566570002,7880.7158676773
"gene-ATF2",1406.99060004111,1465.86699798919,1233.86546698769,1434.54282764249,1315.78645827219,1403.15468985219,1366.57887638748,1270.19295797422,1393.43793963516
"gene-LOC121111283",14.160940618674,25.5426969639936,17.6109254877815,25.3602149848408,20.029536250045,14.3433590518224,22.588080601446,22.0197684320349,15.8088583102855
"gene-CHN1",1091.40392339638,1179.22117650437,1001.62138711757,852.948563990144,986.839843704143,972.853918297521,1142.95687843317,1088.24013461478,960.952744432352
"gene-LOC107053818",23.2644024449645,2.83807744044374,5.50341421493171,5.91738349646284,6.16293423078309,14.3433590518224,14.6822523909399,18.5429628901346,21.4548791353874
"gene-CHRNA1",408.644286424593,401.587957822789,267.465930845681,224.015232366093,332.028081683439,250.073346946991,398.679622615522,74.1718515605386,252.941732964567
"gene-WIPF1",759.633314616013,872.708812936449,619.684440601311,830.124370503788,755.729810049777,760.82165405319,607.619368178898,720.857682353984,880.779248715904
"gene-GPR155",640.276815115761,610.186649695403,606.476246485475,588.356987648306,553.123347212783,539.435025209844,570.349035186512,470.527683337167,556.697653355052
"gene-SCRN3",285.241803890434,282.388705324152,384.138312202234,403.227418258968,370.546420625833,320.542893592901,377.220946044149,299.005276603421,265.362978779792
"gene-CIR1",1227.95585079073,1348.08678421077,2056.07555069849,1927.3763388479,1542.27429125347,1468.0116177387,1489.68391566537,1539.06591988118,1760.42929326679
"gene-OLA1",3199.36108406185,3777.48107323061,3674.07932988841,3402.49551046614,3069.91161370883,3227.25578666005,4767.21441093518,3314.55461661157,4731.36545143543
"gene-SP3",2954.57911051049,3226.89404978453,2387.38108643738,2705.08959838301,2864.99405053529,2992.14942307148,2928.54464997748,2716.54406340472,2957.3857081884
"gene-CDCA7",2742.16500123038,2659.27856169578,2773.72076432558,2849.64282379661,3156.19269293979,3166.14060461315,2968.07379103001,2736.24596147549,3047.72204139003
"gene-MAP3K20",586.667539916495,578.967797850522,544.83800727824,637.386736618998,523.079042837715,541.929522436247,494.678965171668,541.222729355805,566.860490840236
"gene-RAPGEF4",118.345003741776,141.903872022187,116.672381356552,107.358243435826,169.480691346535,147.17533635783,110.681594947086,128.641805050309,127.600070647304
"gene-PPP1R19L",1854.07172528782,2039.15864095882,1840.34171347317,2471.77562052248,2248.70062745698,2281.21771354637,1507.75438014652,1943.53429792224,2033.69670120172
"gene-PDK1",2337.56669783969,2335.7377334852,2380.77698937946,2742.28458036078,2229.44145798578,2331.10765807445,2101.82089996455,2242.53957452566,1971.5904721256
"gene-ITGA6",1074.20849550227,1123.87866641572,842.022374884552,897.751610463363,1112.40962865635,1035.21634895762,880.935143456395,735.923839702219,904.492536181332
"gene-DLX2",42.482821856022,28.3807744044374,321.399390152012,74.3899639555329,57.0071416347436,42.4064528488663,58.7290095637597,53.3110183091371,15.8088583102855
"gene-DLX1",14.160940618674,2.83807744044374,42.9266308764674,25.3602149848408,13.0962352404141,7.4834916792117,14.6822523909399,17.3840277095012,0
"gene-METAP1D",56.6437624746961,70.9519360110934,103.464187240716,74.3899639555329,70.8737436540056,57.9970605138907,68.8936458344104,99.6684255344737,72.2690665613049
"gene-HAT1",3029.42979663776,3140.33268785099,3877.70565584089,3022.93762619302,3099.9559180839,2910.45463890675,5074.41230711485,3872.00243849624,4022.22523580263
"gene-SLC25A12",881.012805633219,786.147451002915,1171.12654493747,987.3577034098,774.988979520974,778.283134638017,725.077387306417,818.208237527191,817.543815474762
"gene-DYNC1I2",5118.16853789218,5392.3471368431,4873.82362874353,5199.68941239185,4705.40028520289,4997.10156879361,4330.1350512972,4991.53382298812,4529.23790589678
"gene-METTL8",221.517571106401,241.236582437718,190.418131836637,189.356271886811,197.213895385059,193.947159352903,213.457361683665,179.634952998179,221.324016343996
"gene-CYBRD1",163.862312873228,236.979466277052,123.27647841447,110.739605433805,206.458296731234,223.88112606975,205.551533473159,202.813656610848,251.812528799547
"gene-DCAF17",480.46048527644,451.254313030554,275.170710746586,278.117024333754,358.990918943115,365.443843668171,478.867308750656,383.60754478966,638.00035323652
"gene-TLK1",1948.14083082615,2341.41388836608,1587.18465958631,2102.3618222433,1992.93885687948,1993.72690820332,1735.89399422113,1698.99897480859,2012.24182206633
"gene-GORASP2",2569.19922653086,2960.11477038282,2399.48859771023,2281.57400813617,2407.39618389965,2278.72321631996,2314.14885761815,2476.64448101361,2686.37670858351
"gene-GAD1",35.402351546685,51.0853939279872,26.4163882316722,42.2670249747346,43.1405396154817,45.5245743818712,24.8468886615906,50.9931479478703,71.1398623962846
"gene-SP5",501.701896204451,689.652818027828,331.305535738889,382.939246271095,591.641686155177,507.630185573194,583.90188354738,599.169488387476,625.579107421296
"gene-MYO3B",97.1035928137647,61.0186649695403,41.825948033481,51.5657704691762,87.0514460098112,101.027137669358,82.446494195278,82.2843978249725,68.8814540662438
"gene-UBR3",1110.62234280743,1135.23097617749,1061.05826063883,1440.46021113896,1256.4682163009,1305.24567371584,738.630235667285,993.207449802837,1009.50852352823
"gene-METTL5",577.564078090205,407.264112703676,500.810693558786,382.093905771601,459.908966972188,394.754186078417,647.148509231429,513.408285020603,407.642703572361
"gene-SSB",3899.31614892774,4972.31167565743,4374.11361802773,4291.79371593455,4821.72566880892,4852.42072966219,5864.99512816546,5533.91548752456,6302.0884449788
"gene-LOC121111326",8.09196606781372,15.6094259224405,13.2081941158361,10.1440859939363,12.3258684615662,11.2252375188176,2.2588080601446,8.11254626443391,13.5504499802447
"gene-KLHL23",24.2758982034412,28.3807744044374,34.1211681325766,36.3496414782718,36.2072386058507,39.2883313158614,27.1056967217352,37.0859257802693,37.2637374456729
"gene-CCDC173L",132.50594436045,139.065794581743,122.175795571484,109.048924434815,112.473549711791,127.219358546599,216.845573773882,197.018980707681,135.504499802447
"gene-CCDC173",1093.42691491333,1945.50208542418,2400.58928055321,1903.70680486205,1347.37149620495,1337.05051335249,2682.33457142172,2009.59360321834,1597.82389350385
"gene-PPIG",5046.35233904033,6107.54265183492,6050.45358789593,5482.03313922308,6351.67409160082,5822.1565264267,8159.94411727238,8156.58580129798,7729.40250956457
"gene-FASTKD1",444.046637971278,421.454499905895,678.020631279587,754.043725549265,468.383001539515,495.157699441174,460.796844269499,457.779396350199,407.642703572361
"gene-KLHL41",1054.99007609121,1365.11524885344,1116.09240278815,482.689425211469,917.506833607833,894.277255665798,1459.19000685341,553.971016342772,261.97536628473
"gene-BBS5",551.26518836981,620.119920736956,408.353334747933,458.174550726123,624.767457645636,536.316903676839,479.996712780728,600.328423568109,397.479866087177
"gene-LRP2",252.873939619179,141.903872022187,134.283306844334,261.21021434386,201.836096058146,221.386628843346,81.3170901652057,122.847129147142,210.031974693793
"gene-ABCB11",107.218550398532,72.3709747313153,66.0409705791806,97.2141574418896,91.6736466828985,84.8129056977326,57.5996055336874,47.51634240597,70.0106582312642
"gene-G6PC2",82.9426521950907,95.0755942548652,68.2423362651532,87.0700714479533,76.2663111059408,92.2963973769443,110.681594947086,89.238008908773,85.8195165415496
"gene-SPC25",2415.4518712424,2601.09797416668,2484.24117662018,1990.77687631,2304.16703553403,2388.48109428173,3905.47913599002,3139.55540433592,3110.95747463117
"gene-CERS6",655.449251492912,532.1395200832,423.762894549742,521.575088188225,500.738406251126,485.179710535559,503.714197412246,476.322359240334,479.911770133666
"gene-STK39",504.736383479881,475.377971274326,456.783379839332,460.710572224607,508.442074039605,482.061589002554,616.654600419477,439.236433460064,528.467549229542
"gene-B3GALT1",219.494579589447,173.122723867068,165.102426447951,145.398565913087,196.443528606211,228.246496215957,141.175503759038,185.429628901346,154.700970607793
"gene-SCN9A",177.011757733425,130.551562260412,239.948859771023,154.697311407529,243.435902115932,159.64782248985,119.716827187664,50.9931479478703,45.1681666008156
"gene-SCN1A",14.160940618674,8.51423232133121,19.8122911737542,5.07204299696815,23.1110033654366,11.2252375188176,15.8116564210122,10.4304166257007,9.03363332016312
"gene-TTC21B",712.093013967608,421.454499905895,711.041116569177,907.050355957805,678.693132164988,676.632372662058,510.49062159268,564.401432968473,499.108240939012
"gene-GALNT3",470.345527691673,515.111055440538,311.493244565135,343.208242794845,361.302019279659,359.207600602162,223.621997954316,215.561943597815,390.704641097055
"gene-CSRNP3",90.0231225044277,102.170787855974,51.7320936203581,49.8750894701868,77.0366778847887,73.5876681789151,47.4349692630367,35.9269905996359,63.2354332411418
"gene-SCN2A",26.2988897203946,11.3523097617749,8.80546274389074,10.1440859939363,20.029536250045,13.7197347452215,10.1646362706507,30.1323146964688,4.51681666008156
"gene-SCN3A",144.64389346217,97.9136716953089,132.081941158361,69.3179209585647,80.1181450001802,94.7908946033482,81.3170901652057,45.1984720447032,22.5840833004078
"gene-SLC38A11",90.0231225044277,78.0471296122027,37.4232166615357,37.1949819777664,70.8737436540056,51.7608174478809,103.905170766652,67.2182404767381,54.2017999209787
"gene-COBLL1",202.299151695343,302.255247407258,264.163882316722,172.449461896917,297.361576635284,258.804087239405,246.210078555762,254.965739739351,296.980695400362
