"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"378928","GRPR",1.38228091276488,0.300563267043058,1,"NoChange"
"100858381","C19orf12A",1.38157179440612,0.300903848698724,1,"NoChange"
"101750689","BHLHE41",1.3813675483891,0.300982563438146,1,"NoChange"
"423217","RPAP1",1.38120654263204,0.301037363008963,1,"NoChange"
"421932","YWHAQ",-1.38047047349392,0.301376231587391,1,"NoChange"
"423712","ADAMTS14",1.38017074086858,0.301507923250119,1,"NoChange"
"428354","KDM4B",1.37935276463678,0.301892565321801,1,"NoChange"
"428972","SFXN3",-1.37923238098489,0.30192494565904,1,"NoChange"
"431663","NPR3",1.3788070442761,NA,1,"NoChange"
"415711","NFATC3",1.37874624612718,0.302125814271447,1,"NoChange"
"424061","BOLL",-1.37830060809356,0.302338700468899,1,"NoChange"
"768557","SIK2",-1.37817759189404,0.302372573397621,1,"NoChange"
"770088","SCFD2",1.3778057220049,0.302544612190711,1,"NoChange"
"425342","TEX9",1.37755042442231,0.302623269756001,1,"NoChange"
"419383","WRAP73",-1.37754010409615,0.302623269756001,1,"NoChange"
"417220","SLC27A4",-1.37745411735106,0.302636600945353,1,"NoChange"
"415378","ICE2",1.3773159079819,0.302644519928671,1,"NoChange"
"101750242","LOC101750242",-1.3771330283468,0.302711671990534,1,"NoChange"
"423763","NDUFB8",-1.37653866955838,0.302973031881372,1,"NoChange"
"417035","BG8",1.37646447965716,0.302979823966233,1,"NoChange"
"418131","YARS2",1.37618427839125,0.30310112370204,1,"NoChange"
"422258","CSTF2",-1.37586784585889,0.303242602779409,1,"NoChange"
"422161","YIPF6",1.37559884128927,0.303323280467738,1,"NoChange"
"771327","TIA1",1.37541881490984,0.303354487064335,1,"NoChange"
"417089","RALGPS1",-1.37518806993017,0.303448373133221,1,"NoChange"
"417393","STXBP4",1.37475413528487,0.303620869035904,1,"NoChange"
"100857144","VRK2",1.37468841890081,0.303622965763265,1,"NoChange"
"420705","ZDHHC3",-1.37436588201606,0.303739133250048,1,"NoChange"
"416438","NPTX2",1.37430383999387,0.303739133250048,1,"NoChange"
"418341","B4GALT4",1.3742938603137,0.303739133250048,1,"NoChange"
"395949","SMO",-1.373120818867,0.304308345586163,1,"NoChange"
"423912","FHIP2A",-1.37311490540438,0.304308345586163,1,"NoChange"
"416605","SMG1",1.37308602057866,0.304308345586163,1,"NoChange"
"776286","UBE3B",1.37249107313536,0.304531072018842,1,"NoChange"
"770307","HYPK",-1.3724837796309,0.304531072018842,1,"NoChange"
"124416960","LOC124416960",1.37243869164033,0.304531072018842,1,"NoChange"
"419478","PRDM2",1.37243869164033,0.304531072018842,1,"NoChange"
"424626","SPATA6",-1.37192974505616,0.30478037724379,1,"NoChange"
"416976","GATC",1.37140245416825,0.305040064365264,1,"NoChange"
"112530239","LOC112530239",1.3711830135242,0.305127985948679,1,"NoChange"
"416006","DENND6A",1.37100746916703,0.305191411820764,1,"NoChange"
"420745","BBS9",1.3707017851643,0.305327533259865,1,"NoChange"
"415373","LACTB",1.37062709145715,0.305334650812412,1,"NoChange"
"428014","GCC2",1.37054358247362,0.305346694943521,1,"NoChange"
"415647","FAM192A",1.36987391837425,0.305648315437133,1,"NoChange"
"770172","MRPL38",1.36946818579891,0.305774578836492,1,"NoChange"
"420396","IBA57",-1.3691017551856,0.305944844817881,1,"NoChange"
"422469","TMEM184C",1.36859891769229,0.306131875218099,1,"NoChange"
"374132","RPL39L",1.36845338499365,0.306168956308393,1,"NoChange"
"771226","YEATS4",-1.36835357487577,0.30618968637495,1,"NoChange"
"419605","RRAGC",1.36829247876881,0.30618968637495,1,"NoChange"
"419002","TAF1D",-1.36822934824909,0.306190362889042,1,"NoChange"
"420053","TIMM44",-1.36810633031728,0.306224550916685,1,"NoChange"
"112529918","LOC112529918",1.36800715519049,0.30624540103828,1,"NoChange"
"423409","C14orf159",1.36766408567174,0.306368100843785,1,"NoChange"
"107049485","GN3L",-1.36695623443375,0.306695103526854,1,"NoChange"
"426846","LIPG",1.36669101981638,0.306796124910481,1,"NoChange"
"418684","GABRA5",1.36628405832771,0.306967644137281,1,"NoChange"
"416523","GRAPL",-1.36617182389474,0.306995848880758,1,"NoChange"
"431626","ANKRD34B",1.36517679062788,0.307484401581731,1,"NoChange"
