"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"428731","SLC7A11",-4.59730991951967,3.40365840445786e-05,1,"Down"
"421393","KCNG3",-4.5967354117715,3.4107544345337e-05,1,"Down"
"417982","CENPM",4.59655538117957,3.41140418598059e-05,1,"Up"
"100859666","C2orf50",-4.59614978591819,3.41574938704789e-05,1,"Down"
"425527","DUSP3",-4.59528010857308,3.42772215060027e-05,1,"Down"
"422265","KLHL4",-4.59469021716686,3.43195118733556e-05,1,"Down"
"428309","CNTNAP1",-4.59464931682502,3.43195118733556e-05,1,"Down"
"423990","CALCRL",-4.59460301120455,3.43195118733556e-05,1,"Down"
"427679","PMM2",4.59406159034058,3.43856637634639e-05,1,"Up"
"417998","CHADL",4.59362699251799,3.44343090805373e-05,1,"Up"
"420262","CTHRC1",4.59234540345492,3.46233212969308e-05,1,"Up"
"100859902","WWTR1",-4.59203557762215,3.46515810190834e-05,1,"Down"
"419798","DIXDC1",-4.59168869408995,3.46860358104358e-05,1,"Down"
"428956","ZNF488",4.59110115611223,3.47606002104573e-05,1,"Up"
"415984","WNK2",-4.59063222357373,3.48155379269137e-05,1,"Down"
"425587","FEZ1",-4.5892972819162,3.50155394565082e-05,1,"Down"
"776031","ANGPTL2",-4.5890509941289,3.50335018128729e-05,1,"Down"
"420515","MRC5",-4.58704222857052,3.53485840178727e-05,1,"Down"
"771557","ENG",-4.58610145164655,3.54845142094208e-05,1,"Down"
"396471","LECT2",4.58368015645855,3.58742245222041e-05,1,"Up"
"417374","ITGB4",-4.58244441550386,3.60629485074858e-05,1,"Down"
"772259","LHX6",-4.58224068799225,3.60741247193368e-05,1,"Down"
"416251","SGCD",-4.5787200537,3.66622017653767e-05,1,"Down"
"417509","ORAI2",4.5781900107958,3.67308129764689e-05,1,"Up"
"417584","GIT1",-4.57561295431447,3.71612492884723e-05,1,"Down"
"395478","PPP1R12B",-4.57438730085796,3.73546682884985e-05,1,"Down"
"395736","NEDD9",-4.57334765344963,3.75157223702839e-05,1,"Down"
"423160","LDLRAD3",-4.57311684436453,3.75322337585469e-05,1,"Down"
"420987","EXOC3",-4.5724464494782,0.0308102476699037,4,"Down"
"415896","SMIM4",-4.56989574769605,3.80885269226035e-05,1,"Down"
"100857756","SC5D",4.56799888271966,3.84076098126053e-05,1,"Up"
"396532","SLC4A1",4.56781356350569,3.84076098126053e-05,1,"Up"
"395749","ETV5",-4.56773147173873,3.84076098126053e-05,1,"Down"
"419850","PFKFB2",4.5669258010441,3.85300347566125e-05,1,"Up"
"419752","ARHGEF12",-4.56646492793678,3.85893488195615e-05,1,"Down"
"416904","GRK3",-4.56601990388028,3.86458427013924e-05,1,"Down"
"416905","MYO18B",-4.56601990388028,3.86458427013924e-05,1,"Down"
"395201","SH3GL3",-4.56553344010131,3.87100754411193e-05,1,"Down"
"395841","AvBD1",4.56341555425018,3.90770885369782e-05,1,"Up"
"428987","PLPP4",-4.561099442495,3.94846913568849e-05,1,"Down"
"423625","PRXL2A",-4.55931676268647,3.97690305092232e-05,1,"Down"
"420642","GALNT15",-4.55914714396963,3.97750447690303e-05,1,"Down"
"771259","LHX5",4.55711387087085,NA,1,"Up"
"415407","PRTG",4.55706413892624,4.01187469759122e-05,1,"Up"
"100996929","MYL6",-4.55523426910168,4.04430870356991e-05,1,"Down"
"421790","ASCC3",4.55202361532478,4.10318003004957e-05,1,"Up"
"423072","ABCC8",-4.55192032968349,4.10318003004957e-05,1,"Down"
"419649","PTP4A2",4.55045966161192,4.12731805246446e-05,1,"Up"
