ENTREZ_ID,GENE_SYM
100858582,RAB25
100858585,OTX1
100858589,WDR55
100858592,SORT1
100858607,H2BC32
100858613,CRELD1
100858617,NT5DC4
100858619,PCGF1
100858620,YLEC18
100858624,KCNE5
100858625,CLMN
100858626,ZFAND2B
100858627,PIGB
100858629,NA
100858635,FJX1
100858636,NUDT21
100858647,NA
100858650,FAM110A
100858651,CAMK2N1
100858652,FOXP4
100858653,DHX58
100858654,NA
100858676,MAX
100858681,H3C33
100858683,TUBGCP5
100858689,MRPL43
100858691,CCDC71
100858692,SRXN1
100858693,ARID3C
100858699,NPAS4
100858701,AvBD14
100858707,CPXM1
100858709,PRDM14
100858713,THT2L
100858727,USP19
100858729,MPND
100858730,CRLF1
100858732,STAT2
100858734,ZBTB39
100858736,MORN3
100858738,PNMT
100858742,NA
100858749,TRIM10
100858750,SLA2
100858758,QRICH1
100858763,FAM214B
100858765,GIPR
100858774,ZNFY3
100858776,NEDD8
100858777,NA
100858780,BLEC3
100858782,PROCA1
100858792,LMO1
100858795,MRPL40
100858796,SESN2
100858797,NA
100858798,NMRK2
100858802,OR14J1L67
100858806,LRRC3C
100858814,NA
100858827,PRKAR2A
100858829,MORC1
100858831,ANKRD55
100858836,ACY1
100858838,PIM1
100858840,YLEC18
100858842,APOA2
100858847,EFCAB7
100858848,MIF4GD
100858849,RAB34
100858851,ZNF367
100858866,SLC39A5
100858869,NA
100858873,DUSP23
100858879,TTYH1
100858882,CCS
100858889,CCDC149
100858894,SMTN
100858895,BPTF
100858896,FAM43B
100858897,TCEA3
100858903,CS
100858906,PCBP3
100858909,TRMT2B
100858910,GPR182
100858912,CTNNAL1
100858913,SMAP1
100858919,NA
100858920,SYPL2
100858925,NA
100858926,APOBEC4
100858928,HRH1
100858931,EXOSC5
100858933,CNPY2
100858938,ARHGDIG
100858939,DHRS13
100858942,NA
100858944,NA
100858951,PHYHD1
100858953,NA
100858962,NA
100858964,IL23A
100858970,NRN1L
100858972,GTF2H2
100858976,GNG7
100858979,COL10A1
100858984,NA
100858985,GPR61
100858986,PREB
100858989,CA13
100858990,CNPY3
100858995,NA
100858997,DIRAS1
100858999,ADAMTS4
100859000,USP39
100859007,ARHGAP36
100859008,RASSF10
100859013,MMAB
100859014,NR2F6
100859020,NA
100859022,NA
100859027,FBXL12
100859030,FOXB1
100859037,PPP1R19B
100859039,NA
100859045,APBB1
100859046,CCDC102B
100859051,CLEC5A
100859056,BRD4
100859071,NELFE
100859083,ZNHIT3
100859084,NA
100859094,S100A16
100859101,C9orf69
100859104,CALR
100859108,STAMBPL1
100859110,SYNGR2
100859112,HINT1
100859115,TSPAN19
100859117,ATL2
100859120,AHNAK2
100859124,GZMM
100859131,TMPRSS13
100859132,RASGRF2
100859133,PTGES3
100859148,NA
100859153,PIN1
100859164,ANKRD13B
100859173,NA
100859179,GNGT2
100859180,GR42L5
100859181,PRKACA
100859188,GPR132
100859189,MZB1
100859191,NA
100859196,STAT6
100859202,YLEC17
100859203,NEUROD2
