"","Sacral_1","Free_1","Free_2","Sacral_2","Pygo_1","Sacral_3","Sacral_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"TTC7B",898.370593733641,812.881005513223,653.33558150844,1616.4487129064,900.152479680333,1497.50438337827,1530.58759053384,839.061304567994,926.709474386645,634.729522900399,995.664911387956,1312.2354699986
"TTC8",561.365251835632,780.452241995409,661.001839961603,304.59201493199,238.788586263933,346.263095338768,314.945536945389,455.841560937072,253.28347591731,619.782987824251,618.085903606544,413.370320327695
"TTC9",155.469315184993,314.559006122803,246.17207699601,313.639302504227,402.452673478539,418.633195650729,397.260847737934,587.678090815932,414.152710621548,229.180204500929,319.554616830594,176.54357430662
"TTF1",541.815218189615,638.846641300951,614.15248274783,417.683109584956,297.814978374119,563.373396274652,467.646403343154,407.799435642234,351.68752906086,528.11090602388,343.100746491796,561.925279195461
"TTI1",673.079729812873,479.945700063659,609.893450273851,683.070211703918,1046.3769510442,632.403338110676,774.241111657415,813.364353828894,1005.43271690148,579.925560954524,786.272544043698,597.449291098622
"TTI2",522.265184543598,313.478047338876,263.208206891927,472.7207756494,602.337501306214,581.18757481298,571.435273472884,396.626848364364,610.960816908647,357.720406155798,494.468722885235,454.27675827679
"TTK",537.160448273897,338.340099369201,413.977956470798,1145.23581851904,535.262055726457,977.553047290799,944.836610836167,406.682176914447,492.875953136387,468.324765719289,539.038182601081,430.594083674683
"TTL",4391.30993848869,6117.14575824379,4324.62157407869,4373.60960054573,6463.38993606534,4352.22649414548,4608.46442886378,5042.18863850247,5534.58622376068,5646.80095176854,5564.45499886326,5491.15105206139
"TTLL1",844.375262711308,539.398433179652,332.204532970393,673.268983500661,155.615033745035,557.806465481424,665.680339452754,324.005031058213,247.293663986833,305.905751225153,285.917288743163,546.854486266847
"TTLL10",1012.87793366031,22.7001344624703,18.7397428855094,30.1576252407911,59.0263921101858,20.04095085562,11.9297551873253,39.104055472543,63.3208689793275,27.9001988088087,27.7507956721305,35.5240119031613
"TTLL11",376.105409190042,339.421058153128,449.753829252225,338.51934332788,299.156487285714,271.666222709516,264.840565158623,386.571519814282,290.078034918811,340.780999736164,221.165432174858,387.534675307214
"TTLL12",1670.13144575974,1671.16227995139,1596.28537124748,1400.06775180373,1534.68619486483,1517.54533423389,1674.93762830048,1235.68815293236,1559.06247676128,1414.9386538753,1552.36269123494,1692.2347488415
"TTLL2",77.2691806009245,19.4572581106889,20.4433558751011,44.4824972301668,5.36603564638052,11.1338615864556,2.38595103746507,13.4071047334433,25.6706225591868,27.9001988088087,13.4549312349724,4.30594083674683
"TTLL4",391.931626903485,308.07325341924,287.910595241008,323.440530707484,516.480930964125,316.201669055338,269.612467233553,262.555801029931,448.38020736713,285.97703779029,349.828212109282,279.886154388544
"TTLL5",2161.6751488596,2072.19798878836,2037.52113555175,2819.73796001397,3210.23082544715,2704.41497935006,2532.68702626917,2797.6158543785,3268.72593920313,2084.54342528671,2607.73385997808,2152.97041837341
"TTLL7",1163.69247892959,1639.8144752175,1290.48683961576,1415.90050505514,802.222329133888,1604.38945460825,1450.65823077876,1005.53285500825,758.994740333291,1134.94023011547,974.641581333312,992.519362870143
"TTLL9",247.633759516216,140.524641910531,277.688917303457,118.368679070105,143.541453540679,131.379566720176,130.034331541846,163.119774256894,176.27160823975,151.458222104962,120.253447912566,119.489858219724
"TTN",1210.24017808677,963736.370521746,75345.6916906748,641.60347699783,958277.377801927,568.940327067879,530.874105835978,28995.0985035267,176105.604880534,793484.643429536,137317.664451319,293715.759870965
"TTPA",604.189135060241,95.12437298559,130.32639370377,92.7346976154326,8.04905346957078,46.7622186631134,45.3330697118363,41.3385729281169,20.5364980473495,81.7077250829398,38.6829273005456,33.3710414847879
"TTPAL",788.518023722688,604.255960215282,821.993267478025,507.40204467631,269.643291230621,748.195498609814,621.54024525965,391.04055472543,408.162898691071,544.05387677177,511.28738692895,385.381704888841
