pathway,gene_id,symbol,label,module,log2FC_used,padj,present_in_data,node_status,signif_flag
oxysterol,ENSGALG00010021194,CYP11A1,CYP11A1,Biosynthesis,0.482379059431835,0.191670163378608,TRUE,Present; not significant,FALSE
oxysterol,ENSGALG00010005498,SMO,SMO,Hedgehog/Osteogenic,1.07107364152185,2.42082577571568e-5,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010010406,PTCH1,PTCH1,Hedgehog/Osteogenic,-1.02787341969618,0.00492784552794883,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010025727,GLI1,GLI1,Hedgehog/Osteogenic,-2.00915822144477,1.7401280222241e-4,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010018968,GLI2,GLI2,Hedgehog/Osteogenic,0.389886279097891,0.139782702788429,TRUE,Present; not significant,FALSE
oxysterol,ENSGALG00010014807,HES1,HES1,Hedgehog/Osteogenic,2.15481746028001,3.01580600400126e-14,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010003330,HEY1,HEY1,Hedgehog/Osteogenic,-1.11879055591678,0.00102792302130582,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010008166,RUNX2,RUNX2,OB readouts,-1.14607059190778,0.0683945948713598,TRUE,Present; not significant,FALSE
oxysterol,NA,SP7,Osterix,OB readouts,-0.587284793140008,0.260594909218303,TRUE,Present; not significant,FALSE
oxysterol,NA,GPR183,GPR183/EBI2,Immune chemotaxis,-0.723749477038785,0.178955093546602,TRUE,Present; not significant,FALSE
oxysterol,NA,HSD3B7,HSD3B7,Immune chemotaxis,NA,NA,FALSE,Missing gene,FALSE
oxysterol,ENSGALG00010022650,NR1H3,LXRα,LXR/Cholesterol,0.381486583100997,0.00137401716763321,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010014122,ABCA1,ABCA1,LXR/Cholesterol,-2.38538471176189,4.01869797408776e-9,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010011104,ABCG1,ABCG1,LXR/Cholesterol,-2.99537261778169,4.17081132744624e-7,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010003276,TNFSF11,RANKL,LXR/Cholesterol,-0.888126565859417,0.0153187713283829,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010024834,INSIG1,INSIG1,Cholesterol sensing,0.349218970775604,0.335752789931983,TRUE,Present; not significant,FALSE
oxysterol,ENSGALG00010027301,SCAP,SCAP,Cholesterol sensing,0.354947185215616,0.00972016954222509,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010010706,SREBF2,SREBP2,Cholesterol sensing,0.585737641363161,0.0185383220652751,TRUE,Present; significant,TRUE
oxysterol,ENSGALG00010011029,HMGCR,HMGCR,Cholesterol sensing,-0.0195489830385552,0.967706487046281,TRUE,Present; not significant,FALSE
oxysterol,NA,SULT2B1,SULT2B1,Degradation,NA,NA,FALSE,Missing gene,FALSE
