pathway	gene_symbol	NES	padj
HALLMARK_INFLAMMATORY_RESPONSE	KCNMB2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	BTG2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	INHBA	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	F3	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	SLC1A2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	SCARF1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	TNFSF15	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	TACR1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	BDKRB1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	KIF1B	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	TNFAIP6	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	CD40	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	PDE4B	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	CALCRL	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	EDN1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	VIP	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	SRI	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	HBEGF	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	NFKBIA	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	IL1R1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	CD82	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	SLC7A2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	APLNR	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	STAB1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	KLF6	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	LY6E	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	KCNJ2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	MET	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	GCH1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	HRH1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	NMI	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	NMUR1	-1.594187536751527	0.007953360837048179
